symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MGCZ6,-1,0,0.1,630884360037,630884360012,1,4643.5,4640.4,$(31.00),08/21/2026 12:01:57,08/21/2026 11:54:28,7min 28sec
MGCZ6,-1,0,0.1,630884360048,630884360067,1,4643.4,4638.2,$(52.00),08/21/2026 12:02:09,08/21/2026 12:11:37,9min 27sec
MGCZ6,-1,0,0.1,630884360108,630884360076,1,4644.5,4637.2,$(73.00),08/21/2026 12:27:51,08/21/2026 12:16:10,11min 40sec
MCLV6,-2,0,0.01,630884360135,630884360117,11,86.89,86.75,$(154.00),08/21/2026 12:48:08,08/21/2026 12:28:16,19min 51sec
MNQU6,-2,0,0.25,630884360148,630884360181,1,29486.75,29451.00,$(71.50),08/21/2026 14:02:40,08/21/2026 15:18:35,1h 15min 55sec
MNQU6,-2,0,0.25,630884360229,630884360199,2,29249.25,29217.75,$(126.00),08/25/2026 16:52:43,08/25/2026 16:51:19,1min 23sec
MNQU6,-2,0,0.25,630884360242,630884360270,2,29233.50,29203.00,$(122.00),08/25/2026 16:56:36,08/25/2026 17:04:07,7min 30sec
MNQU6,-2,0,0.25,630884360281,630884360293,2,29203.25,29235.75,$130.00,08/25/2026 17:04:46,08/25/2026 17:17:41,12min 55sec
MNQU6,-2,0,0.25,630884360306,630884360325,2,29227.50,29228.25,$3.00,08/25/2026 17:18:36,08/25/2026 17:48:26,29min 50sec
MNQU6,-2,0,0.25,630884360357,630884360337,2,29240.00,29226.25,$(55.00),08/25/2026 17:51:22,08/25/2026 17:49:01,2min 20sec
MNQU6,-2,0,0.25,630884360366,630884360406,2,29241.75,29244.00,$9.00,08/25/2026 17:51:57,08/25/2026 19:04:54,1h 12min 57sec
MNQU6,-2,0,0.25,630884360415,630884360438,2,29236.50,29237.75,$5.00,08/25/2026 19:13:42,08/25/2026 19:21:44,8min 2sec
MGCZ6,-1,0,0.1,630884360494,630884360475,1,4671.3,4677.6,$63.00,08/26/2026 12:25:56,08/26/2026 12:01:57,23min 58sec
MGCZ6,-1,0,0.1,630884360494,630884360459,1,4671.3,4677.7,$64.00,08/26/2026 12:25:56,08/26/2026 12:01:49,24min 6sec
MNQU6,-2,0,0.25,630884360535,630884360516,2,29286.50,29241.75,$(179.00),08/26/2026 15:43:34,08/26/2026 15:36:39,6min 55sec
MNQU6,-2,0,0.25,630884360551,630884360580,1,29213.50,29264.25,$101.50,08/26/2026 16:39:26,08/26/2026 16:52:27,13min 
MNQU6,-2,0,0.25,630884360551,630884360591,2,29213.50,29240.75,$109.00,08/26/2026 16:39:26,08/26/2026 16:55:22,15min 56sec
MNQU6,-2,0,0.25,630884360604,630884360623,1,29249.25,29250.25,$2.00,08/26/2026 16:57:37,08/26/2026 17:14:11,16min 33sec
MNQU6,-2,0,0.25,630884360642,630884360665,1,29547.50,29549.00,$3.00,08/27/2026 15:30:29,08/27/2026 15:31:29,59sec
MNQU6,-2,0,0.25,630884360681,630884360704,1,29492.75,29495.25,$5.00,08/27/2026 15:42:20,08/27/2026 15:47:25,5min 5sec
MNQU6,-2,0,0.25,630884360716,630884360735,1,29499.50,29454.25,$(90.50),08/27/2026 15:48:44,08/27/2026 15:49:36,52sec
MNQU6,-2,0,0.25,630884360747,630884360778,1,29507.25,29511.50,$8.50,08/27/2026 15:50:19,08/27/2026 15:55:28,5min 8sec
MNQU6,-2,0,0.25,630884360790,630884360817,1,29584.25,29585.25,$2.00,08/27/2026 16:14:23,08/27/2026 16:30:29,16min 5sec
MNQU6,-2,0,0.25,630884360853,630884360834,1,29620.75,29570.25,$(101.00),08/28/2026 16:19:24,08/28/2026 16:11:06,8min 17sec
MNQU6,-2,0,0.25,630884360882,630884360865,2,29642.50,29604.50,$(152.00),08/28/2026 16:21:57,08/28/2026 16:20:10,1min 46sec
MNQU6,-2,0,0.25,630884360890,630884360902,2,29662.75,29651.50,$(45.00),08/28/2026 16:22:31,08/28/2026 16:23:26,54sec
MNQU6,-2,0,0.25,630884360918,630884360951,3,29129.75,29130.75,$6.00,09/01/2026 15:47:51,09/01/2026 15:51:42,3min 51sec
MNQU6,-2,0,0.25,630884360967,630884360986,3,29105.75,29225.00,$715.50,09/01/2026 15:59:53,09/01/2026 16:43:36,43min 42sec
MNQU6,-2,0,0.25,630884361010,630884361002,3,29578.50,29578.00,$(3.00),09/04/2026 16:37:48,09/04/2026 16:26:59,10min 48sec
MNQU6,-2,0,0.25,630884361023,630884361038,3,29515.25,29491.75,$(141.00),09/04/2026 17:00:28,09/04/2026 17:02:40,2min 11sec
MNQU6,-2,0,0.25,630884361086,630884361050,3,29517.25,29507.25,$(60.00),09/04/2026 17:07:23,09/04/2026 17:03:22,4min 1sec
MNQU6,-2,0,0.25,630884361095,630884361124,3,29525.25,29510.25,$(90.00),09/04/2026 17:08:31,09/04/2026 17:18:18,9min 47sec
MGCZ6,-1,0,0.1,630884361138,630884361157,1,4431.7,4423.6,$(81.00),09/10/2026 13:40:36,09/10/2026 13:48:00,7min 24sec
MNQU6,-2,0,0.25,630884361166,630884361196,4,29129.75,29127.25,$(20.00),09/10/2026 16:01:31,09/10/2026 16:01:33,1sec
MNQU6,-2,0,0.25,630884361204,630884361227,2,29148.75,29131.75,$(68.00),09/10/2026 16:01:53,09/10/2026 16:07:08,5min 15sec
MNQU6,-2,0,0.25,630884361210,630884361227,2,29164.25,29131.75,$(130.00),09/10/2026 16:02:21,09/10/2026 16:07:08,4min 47sec
MNQU6,-2,0,0.25,630884361273,630884361245,3,29429.50,29407.50,$(132.00),09/11/2026 15:41:33,09/11/2026 15:39:05,2min 28sec
MNQU6,-2,0,0.25,630884361325,630884361282,3,29422.00,29391.00,$(186.00),09/11/2026 16:10:29,09/11/2026 16:04:55,5min 33sec
