symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,619589860011,619589860093,2,29919.00,30108.25,$757.00,08/13/2026 15:34:23,08/13/2026 15:47:32,13min 8sec
MNQU6,-2,0,0.25,619589860040,619589860093,2,29994.00,30108.25,$457.00,08/13/2026 15:36:30,08/13/2026 15:47:32,11min 1sec
MNQU6,-2,0,0.25,619589860159,619589860133,2,30237.75,30212.00,$(103.00),08/14/2026 15:42:56,08/14/2026 15:39:52,3min 3sec
MNQU6,-2,0,0.25,619589860168,619589860209,3,30253.50,30219.50,$(204.00),08/14/2026 15:44:06,08/14/2026 15:51:15,7min 9sec
MNQU6,-2,0,0.25,619589860227,619589860248,2,29679.25,29637.75,$(166.00),08/18/2026 16:04:35,08/18/2026 16:05:59,1min 23sec
MNQU6,-2,0,0.25,619589860286,619589860259,2,29669.00,29633.00,$(144.00),08/18/2026 16:07:45,08/18/2026 16:06:32,1min 13sec
MNQU6,-2,0,0.25,619589860306,619589860339,2,29487.50,29412.50,$(300.00),08/19/2026 15:53:33,08/19/2026 16:11:00,17min 26sec
MNQU6,-2,0,0.25,619589860399,619589860372,2,29396.25,29322.25,$(296.00),08/20/2026 15:55:57,08/20/2026 15:52:59,2min 58sec
MNQU6,-2,0,0.25,619589860431,619589860473,2,29017.75,28958.75,$(236.00),08/24/2026 15:47:33,08/24/2026 15:53:03,5min 29sec
MNQU6,-2,0,0.25,619589860486,619589860511,2,29013.75,28978.75,$(140.00),08/24/2026 16:00:04,08/24/2026 16:02:56,2min 51sec
MNQU6,-2,0,0.25,619589860533,619589860558,2,29332.75,29292.25,$(162.00),08/25/2026 15:36:25,08/25/2026 15:58:12,21min 47sec
MNQU6,-2,0,0.25,619589860574,619589860603,2,29238.00,29203.25,$(139.00),08/25/2026 16:40:57,08/25/2026 16:42:47,1min 50sec
MNQU6,-2,0,0.25,619589860622,619589860643,2,29092.00,29064.50,$(110.00),09/02/2026 15:43:24,09/02/2026 15:46:06,2min 41sec
