symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,620520920011,620520920059,3,30274.00,30209.00,$(390.00),08/14/2026 15:45:28,08/14/2026 15:57:58,12min 30sec
MNQU6,-2,0,0.25,620520920080,620520920121,2,30197.00,30198.75,$7.00,08/17/2026 15:41:38,08/17/2026 16:02:53,21min 14sec
MNQU6,-2,0,0.25,620520920142,620520920166,14,29713.75,29709.50,$(119.00),08/18/2026 15:32:22,08/18/2026 15:32:24,2sec
MNQU6,-2,0,0.25,620520920231,620520920265,2,29711.75,29627.25,$(338.00),08/18/2026 15:43:48,08/18/2026 15:55:08,11min 19sec
MNQU6,-2,0,0.25,620520920362,620520920336,1,29462.25,29416.25,$(92.00),08/19/2026 16:28:29,08/19/2026 16:20:04,8min 25sec
MNQU6,-2,0,0.25,620520920371,620520920410,2,29462.00,29532.00,$280.00,08/19/2026 16:28:49,08/19/2026 16:49:10,20min 21sec
MNQU6,-2,0,0.25,620520920445,620520920422,1,29634.75,29590.00,$(89.50),08/19/2026 18:02:06,08/19/2026 17:49:58,12min 7sec
6EU6,-5,0,5.0E-5,620520920481,620520920457,1,1.16775,1.16775,$0.00,08/19/2026 20:01:59,08/19/2026 19:08:22,53min 36sec
MNQU6,-2,0,0.25,620520920504,620520920528,2,29438.50,29386.75,$(207.00),08/20/2026 15:45:00,08/20/2026 15:47:26,2min 25sec
MNQU6,-2,0,0.25,620520920539,620520920551,2,29383.25,29325.50,$(231.00),08/20/2026 15:56:36,08/20/2026 15:57:51,1min 14sec
MCLV6,-2,0,0.01,620520920568,620520920588,5,86.58,86.36,$(110.00),08/21/2026 10:13:44,08/21/2026 10:19:34,5min 49sec
MCLV6,-2,0,0.01,620520920568,620520920593,6,86.58,86.35,$(138.00),08/21/2026 10:13:44,08/21/2026 10:19:34,5min 49sec
MCLV6,-2,0,0.01,620520920622,620520920605,11,86.39,86.30,$(99.00),08/21/2026 10:22:56,08/21/2026 10:20:03,2min 52sec
MCLV6,-2,0,0.01,620520920631,620520920648,11,86.36,86.27,$(99.00),08/21/2026 10:23:33,08/21/2026 10:24:09,35sec
MCLV6,-2,0,0.01,620520920675,620520920657,11,86.32,86.28,$(44.00),08/21/2026 10:24:29,08/21/2026 10:24:13,16sec
MNQU6,-2,0,0.25,620520920688,620520920708,2,29092.00,29071.50,$(82.00),09/02/2026 15:43:24,09/02/2026 15:46:11,2min 46sec
MNQU6,-2,0,0.25,620520920745,620520920716,1,29034.00,29078.00,$88.00,09/02/2026 15:51:54,09/02/2026 15:47:17,4min 37sec
MNQU6,-2,0,0.25,620520920756,620520920716,1,29033.75,29078.00,$88.50,09/02/2026 15:56:22,09/02/2026 15:47:17,9min 5sec
MNQU6,-2,0,0.25,620520920767,620520920784,1,29084.50,29119.25,$69.50,09/02/2026 16:05:19,09/02/2026 16:10:24,5min 5sec
MNQU6,-2,0,0.25,620520920767,620520920797,2,29084.50,29088.50,$16.00,09/02/2026 16:05:19,09/02/2026 16:12:42,7min 22sec
MNQU6,-2,0,0.25,620520920808,620520920797,1,29093.75,29088.50,$(10.50),09/02/2026 16:12:55,09/02/2026 16:12:42,12sec
MNQU6,-2,0,0.25,620520920822,620520920833,4,29136.25,29170.75,$276.00,09/02/2026 16:16:03,09/02/2026 16:21:43,5min 40sec
MNQU6,-2,0,0.25,620520920883,620520920849,3,29307.50,29280.25,$(163.50),09/03/2026 16:15:18,09/03/2026 16:01:05,14min 13sec
MNQU6,-2,0,0.25,620520920900,620520920891,3,29311.00,29301.25,$(58.50),09/03/2026 16:36:07,09/03/2026 16:35:32,35sec
MNQU6,-2,0,0.25,620520920923,620520920917,3,29309.50,29308.00,$(9.00),09/03/2026 16:49:54,09/03/2026 16:36:52,13min 1sec
MNQU6,-2,0,0.25,620520920937,620520920954,3,29532.00,29522.00,$(60.00),09/03/2026 17:29:19,09/03/2026 17:33:17,3min 57sec
MNQU6,-2,0,0.25,620520920973,620520920982,4,29658.00,29657.50,$(4.00),09/04/2026 15:54:31,09/04/2026 15:55:16,45sec
MNQU6,-2,0,0.25,620520920999,620520921028,4,29662.25,29663.00,$6.00,09/04/2026 15:55:36,09/04/2026 16:01:31,5min 54sec
