symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQZ6,-2,0,0.25,664675940012,664675940045,6,29708.25,29719.00,$129.00,09/17/2026 17:35:33,09/17/2026 18:07:01,31min 27sec
MNQZ6,-2,0,0.25,664675940059,664675940053,6,29725.75,29720.50,$(63.00),09/17/2026 18:35:41,09/17/2026 18:34:15,1min 25sec
MNQZ6,-2,0,0.25,664675940073,664675940103,6,29729.50,29732.75,$39.00,09/17/2026 18:36:44,09/17/2026 21:26:50,2h 50min 5sec
